date,open,close,high,low,volume,vwap,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,news_sentiment,news_volume,options_put_call_ratio,options_implied_volatility,target_1d,target_3d,target_5d,target_10d,symbol
2021-01-01,149.20862307976964,148.8897591416336,150.4866149472355,145.15619967556665,3409883.5843771165,149.03841130615837,50.90925331913069,-0.416120342873618,0.0,-0.416120342873618,148.8897591416336,154.84534950729892,142.93416877596826,0.10548434277672938,5,0.44605081502094873,0.04547912461256416,-6.647257385843466e-05,0.02036623127466657,0.03015563059511806,-0.023507059393633137,AMZN
2021-01-04,148.56044177465353,147.79588764019914,152.93207994788133,147.29945106907945,4260319.932435615,147.46106264543093,55.28334126423552,-0.8393593221431122,0.0,-0.8393593221431122,147.79588764019914,153.7077231458071,141.88405213459117,-0.2641773196624967,5,0.26432746622053144,0.019062055395327494,-0.005397522680887407,-0.015865107908135636,0.04693799165009589,0.04737757037178055,AMZN
2021-01-05,143.6277197261267,144.03115906896565,148.06838773850305,140.06089830101845,1111895.3307450418,144.10376709830064,52.67918738760139,-0.8592998729050364,0.0,-0.8592998729050364,144.03115906896565,149.79240543172426,138.26991270620704,-0.4121725912080191,10,0.6542141362867435,0.07508860845992271,0.00700103428777576,-0.004202130037959195,0.03465426655664841,0.019974376801125675,AMZN
2021-01-06,146.8907425535767,147.5791044014594,150.29370348909032,145.27303944142528,2783866.9507583086,146.89691654146884,47.188613547695155,-0.503955050612726,0.0,-0.503955050612726,147.5791044014594,153.48226857751777,141.67594022540104,-0.8537582842883998,4,0.9485357823559968,0.0926839023738868,0.002508588398866372,-0.01426953950847985,0.010247471097497917,0.00015424054909550684,AMZN
2021-01-07,146.24766014383738,145.8065004220019,149.8773743169508,142.5205847699609,5511727.510932704,145.79525758660648,64.00013673458005,1.1650267668000265,0.0,1.1650267668000265,145.8065004220019,151.63876043888197,139.97424040512183,-0.6522049899886099,3,0.20644204460115814,0.14281539793974976,-0.005627500940417326,0.007172108511487247,0.040996914907690134,0.01799141576097596,AMZN
2021-01-08,148.23736624679543,148.60137805993608,152.87236496661825,147.80962275217706,3642152.860276694,148.59311438580949,35.334069857015045,-1.494238213151974,0.0,-1.494238213151974,148.60137805993608,154.5454331823335,142.65732293753865,-0.3770840555380129,7,0.7134134159946345,0.061841845758708186,-0.01182823378362215,-0.0023723872976826495,0.02074249793324171,0.005033836918020014,AMZN
2021-01-11,148.41757814496847,149.21909193869433,149.8797633530089,145.69966095981792,566936.4039007846,149.90415413266038,49.11856836874187,-0.17417460518389702,0.0,-0.17417460518389702,149.21909193869433,155.1878556162421,143.25032826114656,0.1495920686245336,5,0.61212176170252,0.12106139033211855,0.013796495501821,0.011622636252974678,0.006906461381751985,-0.020898693669565656,AMZN
2021-01-12,146.03788229836832,146.79166925679255,148.75265909375787,145.7409802579275,5725978.26360258,146.34733653714133,57.36348075532549,0.9947940507499768,0.0,0.9947940507499768,146.79166925679255,152.66333602706425,140.92000248652084,-0.7526531363339999,5,0.3574838727932483,0.09394628247174597,0.014701561653065728,0.0035934917414530867,0.006240131560357054,-0.003756037916318315,AMZN
2021-01-13,148.34942040746284,149.16656910502692,150.15876171945752,144.63212530448703,612221.414584776,149.02545196063423,63.60630031281985,-0.0356896907833334,-0.24033514223374375,0.20464545145041035,149.16656910502692,155.133231869228,143.19990634082583,0.45791965447624555,5,0.1568808354123901,0.05525352324475418,0.0019031289263102685,0.032368879469467295,-0.0049886026495588815,0.008701404593320918,AMZN
2021-01-14,151.5942839766234,152.9432620923212,154.54682465737542,148.21952255072082,1421389.5480233422,152.35912083374677,30.763394832697596,0.34730655277263484,-0.15550993160638232,0.5028164843790172,152.9432620923212,159.06099257601403,146.82553160862835,0.25589760861505195,10,0.554944143995107,0.14479969918266042,0.007966338161330966,-0.0090877561781741,-0.003601590780545582,-0.033937788944624375,AMZN
